,title,time,link,text
0,آخر تطورات العملية العسكرية الروسية في أوكرانيا /06.04.2024/,03:00 GMT,/web/20240406235320/https://arabic.rt.com/world/1553851-%D8%A2%D8%AE%D8%B1-%D8%AA%D8%B7%D9%88%D8%B1%D8%A7%D8%AA-%D8%A7%D9%84%D8%B9%D9%85%D9%84%D9%8A%D8%A9-%D8%A7%D9%84%D8%B9%D8%B3%D9%83%D8%B1%D9%8A%D8%A9-%D8%A7%D9%84%D8%B1%D9%88%D8%B3%D9%8A%D8%A9-%D9%81%D9%8A-%D8%A3%D9%88%D9%83%D8%B1%D8%A7%D9%86%D9%8A%D8%A7-05042024/,
1,نائب وزير الدفاع البريطاني يؤكد عدم جاهزية بلاده لمواجهة تداعيات أي حرب مقبلة,23:49 GMT,/web/20240406235320/https://arabic.rt.com/world/1554031-%D9%86%D8%A7%D8%A6%D8%A8-%D9%88%D8%B2%D9%8A%D8%B1-%D8%A7%D9%84%D8%AF%D9%81%D8%A7%D8%B9-%D8%A7%D9%84%D8%A8%D8%B1%D9%8A%D8%B7%D8%A7%D9%86%D9%8A-%D9%8A%D8%A4%D9%83%D8%AF-%D8%B9%D8%AF%D9%85-%D8%AC%D8%A7%D9%87%D8%B2%D9%8A%D8%A9-%D8%A8%D9%84%D8%A7%D8%AF%D9%87-%D9%84%D9%85%D9%88%D8%A7%D8%AC%D9%87%D8%A9-%D8%AA%D8%AF%D8%A7%D8%B9%D9%8A%D8%A7%D8%AA-%D8%A3%D9%8A-%D8%AD%D8%B1%D8%A8-%D9%85%D9%82%D8%A8%D9%84%D8%A9/,
2,زيلينسكي يدعم فكرة ماكرون المتعلقة بإرسال قوات غربية إلى أوكرانيا,23:31 GMT,/web/20240406235320/https://arabic.rt.com/world/1553998-%D8%B2%D9%8A%D9%84%D9%8A%D9%86%D8%B3%D9%83%D9%8A-%D9%8A%D8%AF%D8%B9%D9%85-%D9%81%D9%83%D8%B1%D8%A9-%D9%85%D8%A7%D9%83%D8%B1%D9%88%D9%86-%D8%A7%D9%84%D9%85%D8%AA%D8%B9%D9%84%D9%82%D8%A9-%D8%A8%D8%A5%D8%B1%D8%B3%D8%A7%D9%84-%D9%82%D9%88%D8%A7%D8%AA-%D8%BA%D8%B1%D8%A8%D9%8A%D8%A9-%D8%A5%D9%84%D9%89-%D8%A3%D9%88%D9%83%D8%B1%D8%A7%D9%86%D9%8A%D8%A7/,"صرح الرئيس الأوكراني فلاديمير زيلينسكي، بأنه يدعم فكرة نظيره الفرنسي إيمانويل ماكرون المتعلقة بإرسال قوات غربية إلى أوكرانيا.
جاء ذلك في تصريحات متلفزة لزيلينسكي تعليقا على احتمال إرسال مدربين عسكريين وفنيين إلى أوكرانيا، فضلا عن تأييده لنشر قوات أجنبية على الحدود الأوكرانية مع بيلاروس لتحرير احتياطيات القوات المسلحة الأوكرانية المرابطة هناك.
وقال زيلينسكي: ""أنا أؤيد ذلك تماما. أما بالنسبة للفكرة المتعلقة بقواتنا على الحدود مع بيلاروس، إذا عرضوا علينا ذلك فسندعمهم بكل تأكيد"".
ووكان ماكرون قد أشار في فبراير إلى أن الاتحاد الأوروبي وافق على تشكيل ""التحالف التاسع لتوجيه ضربات عميقة""، بمعنى تزويد أوكرانيا بصواريخ متوسطة وطويلة المدى.
وأكد أن فرنسا ستبذل قصارى جهدها لمنع روسيا من “الانتصار في هذه الحرب”.
ووفقا لماكرون، ناقش زعماء الدول الغربية إمكانية إرسال قوات إلى أوكرانيا، ولم يتم التوصل إلى توافق في الآراء في هذا الشأن. وخلال اجتماعه مع زعماء المعارضة في أوائل مارس، أكد ماكرون مجددا أن فرنسا ""ليس لديها حدود ولا خطوط حمراء"" فيما يتعلق بدعم أوكرانيا.
وقوبلت تصريحات ماكرون بانتقادات حادة من عدد من شركاء الناتو، من بينهم ألمانيا، وكذلك القوى السياسية في فرنسا نفسها.
واتهم زعماء أحزاب سياسية فرنسية ماكرون بجر باريس إلى الصراع كما انتقدوه لعدم استشارة البرلمان بمثل هذه القضايا.
أما الرئيس الروسي فلاديمير بوتين فرأى في تصريحات الرئيس الفرنسي أن ""موقف ماكرون المتشنج من روسيا قد يكون مرتبطا بما يحدث في إفريقيا"".

المصدر: نوفوستي"
3,مصر.. إصابة 6 أشخاص سقطوا من سقالة أثناء تصوير فيلم,23:20 GMT,/web/20240406235320/https://arabic.rt.com/middle_east/1554023-%D9%85%D8%B5%D8%B1-%D8%A5%D8%B5%D8%A7%D8%A8%D8%A9-6-%D8%A3%D8%B4%D8%AE%D8%A7%D8%B5-%D8%B3%D9%82%D8%B7%D9%88%D8%A7-%D9%85%D9%86-%D9%85%D9%86%D8%B5%D8%A9-%D8%A3%D8%AB%D9%86%D8%A7%D8%A1-%D8%AA%D8%B5%D9%88%D9%8A%D8%B1-%D9%81%D9%8A%D9%84%D9%85/,
4,ضجة كبرى في إسرائيل بعد دهس سيارة لمتظاهرين ضد نتنياهو في تل أبيب,23:16 GMT,/web/20240406235320/https://arabic.rt.com/world/1554028-%D8%B6%D8%AC%D8%A9-%D9%83%D8%A8%D9%8A%D8%B1%D8%A9-%D9%81%D9%8A-%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84-%D8%A8%D8%B9%D8%AF-%D8%AF%D9%87%D8%B3-%D9%85%D8%AA%D8%B8%D8%A7%D9%87%D8%B1%D9%8A%D9%86-%D8%B6%D8%AF-%D9%86%D8%AA%D9%86%D9%8A%D8%A7%D9%87%D9%88-%D9%81%D9%8A-%D8%AA%D9%84-%D8%A3%D8%A8%D9%8A%D8%A8/,
5,"""المقاومة الإسلامية في العراق"" تعلن ضرب هدف إسرائيلي حيوي في إيلات ""أم الرشراش""",23:07 GMT,/web/20240406235320/https://arabic.rt.com/middle_east/1554027-%D8%A7%D9%84%D9%85%D9%82%D8%A7%D9%88%D9%85%D8%A9-%D8%A7%D9%84%D8%A5%D8%B3%D9%84%D8%A7%D9%85%D9%8A%D8%A9-%D9%81%D9%8A-%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82-%D8%AA%D8%B9%D9%84%D9%86-%D8%B6%D8%B1%D8%A8-%D9%87%D8%AF%D9%81-%D8%AD%D9%8A%D9%88%D9%8A%D8%A7-%D9%81%D9%8A-%D8%A5%D9%8A%D9%84%D8%A7%D8%AA-%D8%A3%D9%85-%D8%A7%D9%84%D8%B1%D8%B4%D8%B1%D8%A7%D8%B4/,
6,مفتي عام السعودية: إخراج صدقة الفطر نقودا مخالف للسنة النبوية!,22:58 GMT,/web/20240406235320/https://arabic.rt.com/middle_east/1554026-%D9%85%D9%81%D8%AA%D9%8A-%D8%B9%D8%A7%D9%85-%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9-%D8%A5%D8%AE%D8%B1%D8%A7%D8%AC-%D8%B5%D8%AF%D9%82%D8%A9-%D8%A7%D9%84%D9%81%D8%B7%D8%B1-%D9%86%D9%82%D9%88%D8%AF%D8%A7-%D9%84%D8%A7-%D9%8A%D8%AC%D8%B2%D8%A6-%D9%84%D8%A3%D9%86-%D8%B0%D9%84%D9%83-%D9%85%D8%AE%D8%A7%D9%84%D9%81-%D9%84%D9%84%D8%B3%D9%86%D8%A9/,
7,سيناتور روسي: قواتنا ستعامل الجنود الفرنسيين كمرتزقة حال وصولهم إلى أوكرانيا,22:52 GMT,/web/20240406235320/https://arabic.rt.com/world/1554025-%D8%B3%D9%8A%D9%86%D8%A7%D8%AA%D9%88%D8%B1-%D8%B1%D9%88%D8%B3%D9%8A-%D9%82%D9%88%D8%A7%D8%AA%D9%86%D8%A7-%D8%B3%D8%AA%D8%B9%D8%A7%D9%85%D9%84-%D8%A7%D9%84%D8%AC%D9%86%D9%88%D8%AF-%D8%A7%D9%84%D9%81%D8%B1%D9%86%D8%B3%D9%8A%D9%8A%D9%86-%D9%83%D9%85%D8%B1%D8%AA%D8%B2%D9%82%D8%A9-%D8%AD%D8%A7%D9%84-%D9%88%D8%B5%D9%88%D9%84%D9%87%D9%85-%D8%A5%D9%84%D9%89-%D8%A3%D9%88%D9%83%D8%B1%D8%A7%D9%86%D9%8A%D8%A7/,"أكد عضو مجلس ""الدوما"" الروسي عن مدينة سيفاستوبول دميتري بيليك أن الجنود الفرنسيين سيحصلون على وضع مرتزقة في أوكرانيا، مما يعني أنهم سيكونون غير قانونيين بالنسبة للجيش الروسي.
وقال بيليك: ""كافة جنود الجيوش الأجنبية، بمن فيهم الفرنسيون، الذين يدخلون أوكرانيا سيحصلون على وضع مرتزقة، مما يعني أنهم سيكونون غير قانونيين بالنسبة للجيش الروسي"".
وأشار إلى أن زيلينسكي يعاني اليوم من نقص حاد في الجنود الموالين له في صفوف القوات الأوكرانية.
وأضاف: ""هناك تصريحات فرنسية كثيرة، لكن من غير المعروف ما الذي سيحدث فعلا.. لا يستطيع زيلينسكي سوى إبقاء جيوبه مفتوحة. كم عدد الفرنسيين الذين سيصلون إلى أوكرانيا وما إذا كانوا سيصلون على الإطلاق سيبقى لغزا هذا العام. ومن الممكن أن يبقى كل شيء مجرد كلمات في الهواء"".
وصرح الرئيس الفرنسي إيمانويل ماكرون في 26 فبراير بأنه خلال اجتماع في باريس بمشاركة ممثلين عن حوالي 20 دولة غربية، تم التطرق إلى موضوع الإرسال المحتمل لقوات إلى أوكرانيا. وأشار إلى أن المشاركين لم يتوصلوا إلى توافق حول هذه القضية، ولكن لا يمكن استبعاد مثل هذا السيناريو في المستقبل.
وبعد الاجتماع، قال ممثلو معظم الدول المشاركة في اجتماع باريس، بما في ذلك بولندا، إنه ليس لديهم خطط لإرسال عسكريين إلى أوكرانيا.
كما ذكرت ""وول ستريت جورنال"" أن برلين وواشنطن رفضتا محاولات الرئيس الفرنسي إقناعهما بتبني ""استراتيجية مزدوجة ضد روسيا"" تجعل احتمال الحرب معها قائما.
المصدر: نوفوستي"
8,الجيش الإسرائيلي يقر بإصابة اثنين من جنوده بجروح خطيرة في معارك وسط قطاع غزة,22:44 GMT,/web/20240406235320/https://arabic.rt.com/world/1554024-%D8%A7%D9%84%D8%AC%D9%8A%D8%B4-%D8%A7%D9%84%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84%D9%8A-%D9%8A%D9%82%D8%B1-%D8%A8%D8%A5%D8%B5%D8%A7%D8%A8%D8%A9-%D8%A7%D8%AB%D9%86%D9%8A%D9%86-%D9%85%D9%86-%D8%AC%D9%86%D9%88%D8%AF%D9%87-%D8%A8%D8%AC%D8%B1%D9%88%D8%AD-%D8%AE%D8%B7%D9%8A%D8%B1%D8%A9-%D9%81%D9%8A-%D9%85%D8%B9%D8%A7%D8%B1%D9%83-%D9%88%D8%B3%D8%B7-%D9%82%D8%B7%D8%A7%D8%B9-%D8%BA%D8%B2%D8%A9/,"أقر الجيش الإسرائيلي يوم السبت بإصابة اثنين من جنوده بجروح خطيرة في معارك وسط قطاع غزة.
وقال الجيش في بيان مقتضب إن جنديين من ""الكتيبة 46"" و""اللواء 401"" أصيبا صباح السبت بجروح خطيرة في وسط قطاع غزة.
وأفاد البيان بأنه تم إجلاؤهما لتلقي العلاج الطبي في المستشفى وتم إبلاغ ذويهما.
שני לוחמי צה""ל מגדוד 46, חטיבה 401, נפצעו הבוקר באורח קשה במרכז רצועת עזה.הלוחמים פונו לקבלת טיפול רפואי בבית חולים, משפחותיהם עודכנו
وفي وقت سابق، أعلنت ""كتائب القسام"" الجناح العسكري لحركة حماس يوم السبت أنها قتلت 14 جنديا إسرائيليا وأصابت آخرين في منطقتي الزنة وحي الأمل بخان يونس جنوبي قطاع غزة.
وأشارت الكتائب إلى أنها استهدفت 4 دبابات ميركافا في الزنة وناقلة جند بحي الأمل في خان يونس وأوقعت أفرادها قتلى وجرحى.
هذا وتتواصل المعارك بين الجيش الإسرائيلي وحركة ""حماس"" في قطاع غزة لليوم الـ183، فيما يعيش السكان أزمة إنسانية غير مسبوقة تصل حد المجاعة مع نهاية شهر رمضان، جراء الحصار الذي يفرضه الجيش الإسرائيلي على القطاع.
وأعلنت وزارة الصحة في قطاع غزة يوم السبت، ارتفاع عدد قتلى القصف الإسرائيلي لقطاع غزة إلى 33137 أغلبيتهم من الأطفال والنساء، منذ السابع من أكتوبر.
وفي المقابل، أعلن الجيش الإسرائيلي أن عدد القتلى في صفوفه وصل إلى 600.
المصدر: RT"
9,مفوض حقوق الإنسان الأوكراني: نظام كييف يرسل مجندين إلى ساحات القتال دون تدريب!,22:40 GMT,/web/20240406235320/https://arabic.rt.com/world/1553980-%D9%85%D9%81%D9%88%D8%B6-%D8%AD%D9%82%D9%88%D9%82-%D8%A7%D9%84%D8%A5%D9%86%D8%B3%D8%A7%D9%86-%D8%A7%D9%84%D8%A3%D9%88%D9%83%D8%B1%D8%A7%D9%86%D9%8A-%D9%86%D8%B8%D8%A7%D9%85-%D9%83%D9%8A%D9%8A%D9%81-%D9%8A%D8%B1%D8%B3%D9%84-%D8%A7%D9%84%D8%AC%D9%86%D9%88%D8%AF-%D8%A5%D9%84%D9%89-%D8%B3%D8%A7%D8%AD%D8%A7%D8%AA-%D8%A7%D9%84%D9%82%D8%AA%D8%A7%D9%84-%D8%AF%D9%88%D9%86-%D8%AA%D8%AF%D8%B1%D9%8A%D8%A8/,
